"","name","period","night_date","night_12hr","day_12hr","X","home_range","core_range","cohort","morph","fixes"
"100","Flora","Release",2018-06-29,23,180,80,56.4015677734375,12.6942565185547,"Resident","Fawn",31
"101","Flora","Release",2018-07-01,25,182,82,105.68577590332,30.6351752197266,"Resident","Fawn",31
"102","Flora","Release",2018-06-28,22,179,79,53.2554910888672,12.6653564453125,"Resident","Fawn",31
"103","Flora","Release",2018-06-30,24,181,81,11.1488305175781,3.0825015625,"Resident","Fawn",31
"104","Flora","Release",2018-06-27,21,178,78,39.0460197021484,10.1656212646484,"Resident","Fawn",31
"105","Flora","Release",2018-06-26,20,177,77,71.6585076904297,16.4133836914062,"Resident","Fawn",31
"106","Indianna","Release",2018-07-01,25,182,125,58.1548780273437,11.1409995605469,"Reinforcer","Fawn",109
"107","Indianna","Release",2018-06-30,24,181,124,40.8242665283203,10.0856465820313,"Reinforcer","Fawn",109
"108","Indianna","Release",2018-06-29,23,180,123,709.863843310547,181.965974267578,"Reinforcer","Fawn",109
"109","Indianna","Release",2018-07-02,26,183,126,205.096788720703,34.9473720947266,"Reinforcer","Fawn",109
"110","Indianna","Settlement",2018-07-08,32,189,130,262.6734890625,67.833913671875,"Reinforcer","Fawn",183
"111","Indianna","Settlement",2018-07-06,30,187,128,320.616470263672,52.2597027099609,"Reinforcer","Fawn",183
"112","Indianna","Settlement",2018-07-19,43,200,140,87.0232710205078,17.7315537841797,"Reinforcer","Fawn",183
"113","Indianna","Settlement",2018-07-05,29,186,127,258.722065795898,55.2134301757812,"Reinforcer","Fawn",183
"114","Indianna","Settlement",2018-07-09,33,190,131,84.6281128173828,15.7892984619141,"Reinforcer","Fawn",183
"115","Indianna","Settlement",2018-07-18,42,199,139,39.9521189453125,5.62572526855469,"Reinforcer","Fawn",183
"116","Indianna","Settlement",2018-07-13,37,194,135,32.3826734375,6.41613364257813,"Reinforcer","Fawn",183
"117","Indianna","Settlement",2018-07-11,35,192,133,573.892172802734,127.954660888672,"Reinforcer","Fawn",183
"118","Indianna","Settlement",2018-07-10,34,191,132,11.0141096679688,2.96341401367187,"Reinforcer","Fawn",183
"119","Indianna","Settlement",2018-07-07,31,188,129,228.443529858398,50.6230592285156,"Reinforcer","Fawn",183
"120","Indianna","Settlement",2018-07-17,41,198,141,41.897078515625,10.4891376708984,"Reinforcer","Fawn",183
"121","Indianna","Settlement",2018-07-16,40,197,138,313.0505328125,55.7180374267578,"Reinforcer","Fawn",183
"122","Indianna","Settlement",2018-07-12,36,193,134,4.28538557128906,0.591857055664063,"Reinforcer","Fawn",183
"123","Indianna","Settlement",2018-07-14,38,195,136,53.5157909423828,12.7553457519531,"Reinforcer","Fawn",183
"124","Indianna","Settlement",2018-07-15,39,196,137,154.830238037109,32.1520362792969,"Reinforcer","Fawn",183
"125","Juniper","Release",2018-06-29,23,180,217,889.654917944336,238.18800949707,"Reinforcer","Fawn",52
"126","Juniper","Release",2018-07-02,26,183,219,1718.65279050293,462.203933056641,"Reinforcer","Fawn",52
"127","Juniper","Release",2018-07-01,25,182,218,36.3294604980469,9.45273005371094,"Reinforcer","Fawn",52
"128","Juniper","Settlement",2018-07-10,34,191,222,326.700720336914,49.7013783447266,"Reinforcer","Fawn",102
"129","Juniper","Settlement",2018-07-19,43,200,227,27.5657702392578,4.73532158203125,"Reinforcer","Fawn",102
"130","Juniper","Settlement",2018-07-08,32,189,220,57.4239194091797,10.5953906982422,"Reinforcer","Fawn",102
"131","Juniper","Settlement",2018-07-14,38,195,226,30.70270234375,5.11653974609375,"Reinforcer","Fawn",102
"132","Juniper","Settlement",2018-07-11,35,192,223,4.51546804199219,1.01529321289062,"Reinforcer","Fawn",102
"133","Juniper","Settlement",2018-07-12,36,193,224,2.97067670898437,0.685193212890625,"Reinforcer","Fawn",102
"134","Juniper","Settlement",2018-07-17,41,198,229,13.7931656005859,4.0520642578125,"Reinforcer","Fawn",102
"135","Juniper","Settlement",2018-07-20,44,201,228,20.6530672607422,3.72362512207031,"Reinforcer","Fawn",102
"136","Juniper","Settlement",2018-07-13,37,194,225,38.2286109619141,7.38419958496094,"Reinforcer","Fawn",102
"137","Juniper","Settlement",2018-07-09,33,190,221,8.18326293945312,1.64098146972656,"Reinforcer","Fawn",102
"138","Korra","Release",2018-07-02,26,183,155,68.1165551757812,17.3137088134766,"Reinforcer","Dark",45
"139","Korra","Settlement",2018-07-05,29,186,156,64.0374660888672,18.3676275390625,"Reinforcer","Dark",48
"140","Korra","Settlement",2018-07-07,31,188,158,110.995945385742,29.1519170410156,"Reinforcer","Dark",48
"141","Korra","Settlement",2018-07-17,41,198,164,4.25892116699219,0.8684525390625,"Reinforcer","Dark",48
"142","Korra","Settlement",2018-07-08,32,189,159,29.1670741943359,8.05503227539062,"Reinforcer","Dark",48
"143","Korra","Settlement",2018-07-12,36,193,162,9.24769311523437,1.59293559570313,"Reinforcer","Dark",48
"144","Korra","Settlement",2018-07-10,34,191,161,0.596376977539062,0.105974536132813,"Reinforcer","Dark",48
"145","Korra","Settlement",2018-07-06,30,187,157,78.5928154296875,15.3818524902344,"Reinforcer","Dark",48
"146","Korra","Settlement",2018-07-13,37,194,163,5.33109680175781,0.891496313476563,"Reinforcer","Dark",48
"147","Korra","Settlement",2018-07-09,33,190,160,74.8508163085937,19.5806035888672,"Reinforcer","Dark",48
"148","Luaner","Release",2018-07-04,28,185,144,30.9369983886719,4.49663327636719,"Reinforcer","Fawn",78
"149","Luaner","Release",2018-06-29,23,180,142,259.97213515625,71.75265234375,"Reinforcer","Fawn",78
"150","Luaner","Release",2018-07-03,27,184,143,281.742206689453,74.7938750976563,"Reinforcer","Fawn",78
"151","Luaner","Settlement",2018-07-12,36,193,152,7.2134552734375,1.47836948242187,"Reinforcer","Fawn",71
"152","Luaner","Settlement",2018-07-13,37,194,153,6.60107280273438,1.49626831054688,"Reinforcer","Fawn",71
"153","Luaner","Settlement",2018-07-09,33,190,149,34.1816044677734,5.61352873535156,"Reinforcer","Fawn",71
"154","Luaner","Settlement",2018-07-14,38,195,154,8.15340219726563,1.54511882324219,"Reinforcer","Fawn",71
"155","Luaner","Settlement",2018-07-05,29,186,145,88.1224447265625,13.2127121826172,"Reinforcer","Fawn",71
"156","Luaner","Settlement",2018-07-07,31,188,147,98.8970307373047,21.9622876953125,"Reinforcer","Fawn",71
"157","Luaner","Settlement",2018-07-10,34,191,150,1.97052856445312,0.361842333984375,"Reinforcer","Fawn",71
"158","Luaner","Settlement",2018-07-06,30,187,146,81.3355932861328,15.2102770263672,"Reinforcer","Fawn",71
"159","Luaner","Settlement",2018-07-08,32,189,148,455.649640600586,120.785468139648,"Reinforcer","Fawn",71
"160","Luaner","Settlement",2018-07-11,35,192,151,6.50809091796875,1.0974611328125,"Reinforcer","Fawn",71
"161","Myrtle","Release",2018-06-30,24,181,110,29.2182741455078,5.9080955078125,"Reinforcer","Dark",97
"162","Myrtle","Release",2018-07-03,27,184,112,8.892727734375,2.34135607910156,"Reinforcer","Dark",97
"163","Myrtle","Release",2018-06-28,22,179,109,426.832486694336,111.961738256836,"Reinforcer","Dark",97
"164","Myrtle","Release",2018-07-01,25,182,111,44.5505647460937,10.3150247558594,"Reinforcer","Dark",97
"165","Myrtle","Release",2018-07-04,28,185,113,23.9556777832031,5.27757604980469,"Reinforcer","Dark",97
"166","Myrtle","Settlement",2018-07-15,39,196,122,312.784019067383,85.8931697509766,"Reinforcer","Dark",64
"167","Myrtle","Settlement",2018-07-09,33,190,118,52.6736079101562,10.0211047851563,"Reinforcer","Dark",64
"168","Myrtle","Settlement",2018-07-13,37,194,120,47.5172400146484,8.44283010253906,"Reinforcer","Dark",64
"169","Myrtle","Settlement",2018-07-05,29,186,114,19.3545262939453,3.09934353027344,"Reinforcer","Dark",64
"170","Myrtle","Settlement",2018-07-06,30,187,115,40.8708060058594,10.7247985351562,"Reinforcer","Dark",64
"171","Myrtle","Settlement",2018-07-14,38,195,121,27.5205947021484,4.47900227050781,"Reinforcer","Dark",64
"172","Myrtle","Settlement",2018-07-12,36,193,119,173.655661279297,48.9129971435547,"Reinforcer","Dark",64
"173","Myrtle","Settlement",2018-07-07,31,188,116,7.03475891113281,1.95399011230469,"Reinforcer","Dark",64
"174","Myrtle","Settlement",2018-07-08,32,189,117,41.9988927490234,11.6874566650391,"Reinforcer","Dark",64
"175","Nova","Release",2018-07-04,28,185,178,293.832213549805,58.3022638671875,"Reinforcer","Dark",19
